# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
35.000000,1403638557.127830,1.000000,0.477275,0.549512,-0.000482,0.021051,0.076971,1.951206,-1.241096,5.729033,-6.148439,8.387904,5.119131
36.000000,1403638558.127830,1.000000,0.413821,0.549512,0.002122,0.018753,0.077332,2.665718,17.142765,5.310983,2.398719,2.309134,20.315902
37.000000,1403638559.127830,1.000000,0.509103,0.549512,0.000983,0.019882,0.077091,7.980758,-5.335798,21.366489,-22.956102,6.430675,8.720810
38.000000,1403638560.127830,1.000000,0.504040,0.549512,-0.000033,0.020365,0.080503,0.106463,0.013640,0.528667,-0.668212,8.841783,4.232504
39.000000,1403638561.127830,1.000000,0.348056,0.549512,-0.000716,0.022736,0.076668,-3.278676,-8.798657,-8.810531,-4.791726,13.656276,-7.189006
40.000000,1403638564.127830,1.000000,0.530106,0.549512,0.000109,0.021458,0.075566,-0.418925,-3.059458,-0.296255,-3.411675,8.897126,3.867335
41.000000,1403638564.127830,1.000000,0.530106,0.549512,0.000109,0.021458,0.075566,-0.418925,-3.059458,-0.296255,-3.411675,8.897126,3.867335
42.000000,1403638564.127830,1.000000,0.530106,0.549512,0.000109,0.021458,0.075566,-0.418925,-3.059458,-0.296255,-3.411675,8.897126,3.867335
43.000000,1403638565.127830,1.000000,0.517926,0.549512,0.002310,0.023311,0.077732,0.164621,1.244183,0.294113,0.943946,8.956442,4.097121
44.000000,1403638566.127830,1.000000,0.010505,0.549512,0.002271,0.024498,0.075901,-0.245136,53.989492,-2.627760,53.130853,13.817482,-5.248155
45.000000,1403638567.127830,1.000000,0.366299,0.549512,0.000940,0.026308,0.078492,-0.328066,-6.542997,-1.072321,-6.716139,9.098277,3.495473
46.000000,1403638568.127830,1.000000,0.316065,0.549512,0.001406,0.024109,0.076226,-12.638225,-41.977094,-35.766121,-47.257528,20.273283,-25.477696
47.000000,1403638570.127830,1.000000,0.421608,0.549512,0.001748,0.019395,0.079219,0.339104,1.183571,1.334693,1.072243,8.667758,4.789100
48.000000,1403638570.127830,1.000000,0.421608,0.549512,0.001748,0.019395,0.079219,0.339104,1.183571,1.334693,1.072243,8.667758,4.789100
49.000000,1403638571.127830,1.000000,0.566027,0.549512,0.001424,0.022420,0.077889,0.455983,0.521653,1.477022,1.167745,8.687544,4.695911
50.000000,1403638572.127830,1.000000,0.705787,0.549512,-0.001570,0.021697,0.079141,-0.297214,0.153649,-0.552441,-0.541665,9.195190,3.437838
51.000000,1403638574.127830,1.000000,0.504387,0.549512,-0.002518,0.020463,0.077924,-0.157545,-0.563041,-0.292332,-0.475327,8.804413,4.349333
52.000000,1403638574.127830,1.000000,0.504387,0.549512,-0.002518,0.020463,0.077924,-0.157545,-0.563041,-0.292332,-0.475327,8.804413,4.349333
53.000000,1403638575.127830,1.000000,0.514217,0.549512,-0.001664,0.020066,0.075749,-0.306860,2.080118,-0.836725,-0.750000,9.863413,1.881262
54.000000,1403638576.127830,1.000000,0.461973,0.549512,-0.002064,0.020930,0.077903,-0.233657,-0.493696,-0.356575,-0.575643,8.876799,4.187329
55.000000,1403638577.127830,1.000000,0.465018,0.549512,-0.001581,0.020828,0.076186,4.631356,-14.043371,10.680735,10.166296,3.195029,17.714020
56.000000,1403638579.127830,1.000000,0.522665,0.549512,-0.004653,0.019957,0.076549,-0.218785,-0.141550,-0.431337,-0.541782,8.992328,3.916422
57.000000,1403638579.127830,1.000000,0.522665,0.549512,-0.004653,0.019957,0.076549,-0.218785,-0.141550,-0.431337,-0.541782,8.992328,3.916422
58.000000,1403638580.127830,1.000000,0.481402,0.549512,-0.000148,0.023434,0.073145,0.065222,1.104817,0.044084,0.775433,9.295553,3.230251
59.000000,1403638582.127830,1.000000,0.406465,0.549512,-0.002388,0.019430,0.075801,12.996522,-51.027994,36.114162,-13.901661,-15.056961,61.260728
60.000000,1403638582.127830,1.000000,0.406465,0.549512,-0.002388,0.019430,0.075801,12.996522,-51.027994,36.114162,-13.901661,-15.056961,61.260728
61.000000,1403638583.127830,1.000000,0.498768,0.549512,-0.003185,0.019769,0.076651,-0.215426,-4.550598,-0.782629,-4.049355,8.093696,5.972777
