# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
50.000000,0.000000,1.000000,0.448997,0.538155,-0.002319,0.021451,0.074987,0.000022,-0.000003,-0.000009,0.677964,9.418004,2.660389
51.000000,0.000000,1.000000,0.448997,0.538155,-0.002319,0.021451,0.074987,0.000022,-0.000003,-0.000009,0.677964,9.418004,2.660389
52.000000,0.000000,1.000000,0.517734,0.538155,-0.001929,0.020643,0.078914,0.000004,-0.000000,-0.000002,0.798396,9.464386,2.454397
53.000000,0.000000,1.000000,0.585796,0.538155,0.000219,0.017802,0.077343,-0.000013,-0.000000,0.000004,0.765814,9.460274,2.480494
54.000000,0.000000,1.000000,0.478952,0.538155,-0.001044,0.022333,0.077242,-0.000021,-0.000001,0.000009,0.694803,9.454507,2.523022
55.000000,0.000000,1.000000,0.544130,0.538155,-0.001144,0.020975,0.078152,-0.000057,0.000000,0.000023,0.763815,9.475530,2.422191
56.000000,0.000000,1.000000,0.544531,0.538155,-0.002435,0.022348,0.077613,0.000014,-0.000001,-0.000006,0.757450,9.481855,2.399334
57.000000,0.000000,1.000000,0.470000,0.538155,-0.002695,0.020495,0.076867,-0.000068,0.000001,0.000021,0.721328,9.478961,2.421795
58.000000,0.000000,1.000000,0.546049,0.538155,-0.002747,0.022870,0.076168,-0.000005,0.000000,0.000002,0.726301,9.452968,2.519917
59.000000,0.000000,1.000000,0.496152,0.538155,-0.001623,0.021264,0.078147,-0.000041,-0.000001,0.000016,0.687705,9.441492,2.573208
60.000000,0.000000,1.000000,0.496152,0.538155,-0.001623,0.021264,0.078147,-0.000041,-0.000001,0.000016,0.687705,9.441492,2.573208
61.000000,0.000000,1.000000,0.461931,0.538155,-0.004650,0.020602,0.075126,-0.000074,-0.000009,0.000018,0.692026,9.523771,2.248329
62.000000,0.000000,1.000000,0.461931,0.538155,-0.004650,0.020602,0.075126,-0.000074,-0.000009,0.000018,0.692026,9.523771,2.248329
