# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
66.000000,1.000000,1.305859,0.933621,-0.005002,0.022589,0.072387,0.037926,-0.596801,0.128237,-0.513387,8.832916,4.281993
67.000000,1.000000,0.871188,0.933621,-0.001215,0.020871,0.076348,-1.244090,-2.795345,-3.123643,-4.515007,9.346803,2.764332
68.000000,1.000000,0.879814,0.933621,-0.005358,0.022214,0.076066,-0.077191,-0.105167,-0.007772,-0.291386,9.054104,3.766294
69.000000,1.000000,0.811306,0.933621,-0.004252,0.020593,0.075212,-4.366519,-0.999618,-13.298206,-7.413693,13.449299,-7.515673
70.000000,1.000000,0.699034,0.933621,-0.007894,0.017217,0.076267,0.746721,6.294232,1.970081,6.181780,9.643414,2.917442
71.000000,1.000000,0.850696,0.933621,-0.003896,0.021317,0.073809,-0.073476,1.225386,-0.077522,0.706707,9.182184,3.568826
72.000000,1.000000,0.850696,0.933621,-0.003896,0.021317,0.073809,-0.073476,1.225386,-0.077522,0.706707,9.182184,3.568826
73.000000,1.000000,1.045070,0.933621,-0.002963,0.024877,0.075110,0.112662,-0.455643,0.502385,-0.850535,8.901048,4.096905
74.000000,1.000000,0.865737,0.933621,-0.003967,0.020069,0.077760,-0.154432,-2.761359,-0.646456,-2.645966,9.609310,2.208469
75.000000,1.000000,0.865737,0.933621,-0.003967,0.020069,0.077760,-0.154432,-2.761359,-0.646456,-2.645966,9.609310,2.208469
76.000000,1.000000,0.994831,0.933621,-0.002245,0.021013,0.075836,-0.062287,-1.079912,-0.009890,-1.248384,9.296496,3.069357
77.000000,1.000000,0.994831,0.933621,-0.002245,0.021013,0.075836,-0.062287,-1.079912,-0.009890,-1.248384,9.296496,3.069357
78.000000,1.000000,1.136972,0.933621,-0.002603,0.022568,0.075085,-0.530330,0.870396,-1.261388,1.218250,9.382788,3.054557
79.000000,1.000000,0.765922,0.933621,-0.002603,0.020288,0.075026,-0.167613,-0.241555,-0.195923,-0.383278,9.236684,3.299688
80.000000,1.000000,0.737472,0.933621,-0.002533,0.021342,0.076110,-0.016906,-1.880578,0.142526,-1.474190,9.589799,2.364551
81.000000,1.000000,0.887392,0.933621,-0.002042,0.018724,0.075286,0.587471,-0.625472,1.771055,-2.138989,9.026790,3.749436
82.000000,1.000000,0.887392,0.933621,-0.002042,0.018724,0.075286,0.587471,-0.625472,1.771055,-2.138989,9.026790,3.749436
83.000000,1.000000,0.308663,0.933621,-0.000702,0.020115,0.079200,-0.418115,-0.177849,-0.806594,0.256368,9.404046,2.928751
84.000000,1.000000,0.308663,0.933621,-0.000702,0.020115,0.079200,-0.418115,-0.177849,-0.806594,0.256368,9.404046,2.928751
85.000000,1.000000,0.308663,0.933621,-0.000702,0.020115,0.079200,-0.418115,-0.177849,-0.806594,0.256368,9.404046,2.928751
