# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
60.000000,0.000000,1.000000,0.119272,0.438504,0.000426,0.022827,0.075561,5.616119,0.940080,5.945213,7.242051,4.345120,4.990866
61.000000,0.000000,1.000000,0.319879,0.438504,-0.002721,0.021696,0.076753,12.847559,-8.771667,0.295072,-1.605852,-6.072852,7.535124
62.000000,0.000000,1.000000,0.169360,0.438504,-0.000165,0.020563,0.075041,11.067620,-6.462492,3.819029,1.063075,-3.308335,9.173925
63.000000,0.000000,1.000000,0.257828,0.438504,-0.001935,0.024585,0.074949,13.991229,-1.356764,5.276286,5.263826,-4.977642,6.614477
64.000000,0.000000,1.000000,0.225657,0.438504,-0.000947,0.021987,0.077460,1.970189,-6.046025,-4.881621,-7.187898,5.435021,3.876953
65.000000,0.000000,1.000000,0.225657,0.438504,-0.000947,0.021987,0.077460,1.970189,-6.046025,-4.881621,-7.187898,5.435021,3.876953
66.000000,0.000000,1.000000,0.165181,0.438504,-0.002692,0.021144,0.076177,7.310305,-9.464144,-1.393810,-6.871956,-0.871368,6.945964
67.000000,0.000000,1.000000,0.110182,0.438504,-0.004337,0.022696,0.074977,10.549927,0.013823,6.524341,6.001633,-1.087725,7.683317
68.000000,0.000000,1.000000,0.426774,0.438504,-0.002706,0.019864,0.077784,0.745590,-0.666722,1.614028,0.476594,8.083637,5.537509
69.000000,0.000000,1.000000,0.376093,0.438504,-0.002051,0.021224,0.077943,1.105120,-4.160957,0.439374,-2.816595,6.716389,6.571311
70.000000,0.000000,1.000000,0.330988,0.438504,-0.003130,0.020922,0.076522,3.975224,5.505845,-9.543764,-0.877740,6.310169,-7.459718
71.000000,0.000000,1.000000,0.122167,0.438504,-0.004610,0.021073,0.076621,7.960525,9.958784,-2.070497,7.981071,3.298042,-4.654219
72.000000,0.000000,1.000000,0.243384,0.438504,-0.003354,0.020309,0.075362,-0.416454,2.472014,-3.106537,0.232065,9.807224,0.024551
73.000000,0.000000,1.000000,0.339879,0.438504,-0.007542,0.019237,0.078012,0.172799,-1.374110,-0.215988,-1.443095,8.739163,4.216706
74.000000,0.000000,1.000000,0.309927,0.438504,-0.011383,0.019607,0.076771,17.482477,-2.501997,1.162513,-0.874552,-8.911554,4.006940
75.000000,0.000000,1.000000,0.368170,0.438504,-0.005143,0.022024,0.074975,2.875848,-7.306554,-2.419321,-7.572539,5.370480,3.171521
76.000000,0.000000,1.000000,0.368170,0.438504,-0.005143,0.022024,0.074975,2.875848,-7.306554,-2.419321,-7.572539,5.370480,3.171521
77.000000,0.000000,1.000000,0.340932,0.438504,-0.010123,0.021039,0.075089,12.957860,1.220447,-12.238153,0.493471,-3.276225,-9.233576
78.000000,0.000000,1.000000,0.018648,0.438504,-0.006782,0.018566,0.074801,18.475658,1.622263,-7.525518,1.132182,-8.538842,-4.694938
79.000000,0.000000,1.000000,0.070004,0.438504,-0.012419,0.018317,0.078109,17.716608,4.013519,-1.867760,0.068851,-9.737914,1.156875
80.000000,0.000000,1.000000,0.499564,0.438504,-0.010598,0.023110,0.077509,-0.136096,1.170979,-0.618082,1.059014,8.712349,4.382872
81.000000,0.000000,1.000000,0.401866,0.438504,-0.006830,0.020837,0.075888,-0.482800,-0.521824,-1.976421,1.406990,9.404052,2.412621
82.000000,0.000000,1.000000,0.356779,0.438504,-0.001955,0.022665,0.077558,4.950451,3.741016,5.187860,-4.534711,3.622340,7.908937
83.000000,0.000000,1.000000,0.274933,0.438504,-0.002040,0.022966,0.073838,7.342643,-8.958251,-6.360328,0.115441,4.655084,-8.634435
84.000000,0.000000,1.000000,0.373635,0.438504,0.001262,0.019161,0.078565,0.100910,-0.123339,0.515753,-0.763348,8.983041,3.867606
85.000000,0.000000,1.000000,0.430073,0.438504,0.002950,0.021848,0.078771,18.334865,-0.495551,-6.778505,0.958350,-8.881300,-4.054661
86.000000,0.000000,1.000000,0.366171,0.438504,0.000563,0.020052,0.079207,-0.328347,0.904682,-1.580349,0.582155,9.532889,2.240809
87.000000,0.000000,1.000000,0.065595,0.438504,0.001429,0.020880,0.077258,11.205728,8.972131,-5.022116,9.278150,-1.709097,-2.687758
88.000000,0.000000,1.000000,0.368492,0.438504,0.000259,0.021568,0.076486,0.669533,3.540238,-0.102407,3.494916,8.473820,3.495267
89.000000,0.000000,1.000000,0.184868,0.438504,0.001907,0.020576,0.077199,0.027907,0.469640,0.659447,0.706607,8.681855,4.512443
90.000000,0.000000,1.000000,0.330994,0.438504,-0.002145,0.021436,0.076855,3.296021,-6.544289,0.354241,-5.892972,5.219753,5.853483
91.000000,0.000000,1.000000,0.503132,0.438504,-0.002030,0.020514,0.077089,-0.394627,1.873750,-3.671540,0.615641,9.790644,0.020123
92.000000,0.000000,1.000000,0.457262,0.438504,-0.002810,0.020831,0.075420,-0.301213,2.422814,-2.443376,1.376701,9.669820,0.894848
93.000000,0.000000,1.000000,0.457262,0.438504,-0.002810,0.020831,0.075420,-0.301213,2.422814,-2.443376,1.376701,9.669820,0.894848
94.000000,0.000000,1.000000,0.388869,0.438504,-0.002710,0.021314,0.076344,5.060378,-8.582978,-1.074950,-7.841922,2.733326,5.226530
95.000000,0.000000,1.000000,0.388869,0.438504,-0.002710,0.021314,0.076344,5.060378,-8.582978,-1.074950,-7.841922,2.733326,5.226530
96.000000,0.000000,0.000000,0.318466,0.438504,-0.002168,0.021549,0.076188,-0.000041,-0.000001,0.000015,-0.137171,8.983598,3.938559
97.000000,0.000000,1.000000,0.504979,0.438504,-0.001959,0.023084,0.077060,0.127529,2.174901,-0.184856,1.897844,9.126923,3.033706
98.000000,0.000000,0.000000,0.455502,0.438504,-0.002143,0.020296,0.078536,-0.000015,-0.000000,0.000006,-0.103068,8.984689,3.937112
99.000000,0.000000,0.000000,0.455502,0.438504,-0.002143,0.020296,0.078536,-0.000015,-0.000000,0.000006,-0.103068,8.984689,3.937112
