# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.998456,1.157850,-0.001807,0.025315,0.079203,-0.261750,0.093308,-0.698046,-0.055866,9.556050,2.216955
1.000000,1.000000,1.000000,1.028058,1.157850,-0.002180,0.023338,0.079523,-0.053990,-2.421619,-3.615056,-2.561592,9.443390,-0.704800
2.000000,1.000000,1.000000,0.995092,1.157850,-0.002692,0.027031,0.075403,0.160414,0.161793,0.374573,0.037619,9.235778,3.306825
3.000000,1.000000,1.000000,0.995092,1.157850,-0.002692,0.027031,0.075403,0.160414,0.161793,0.374573,0.037619,9.235778,3.306825
4.000000,1.000000,1.000000,0.883354,1.157850,-0.001546,0.020421,0.080502,-0.662767,-3.196304,-4.754251,-3.388462,8.974655,-2.051828
5.000000,1.000000,1.000000,0.881232,1.157850,-0.001483,0.021961,0.082194,4.462159,-1.322746,5.209310,-1.316790,5.065950,8.296886
6.000000,1.000000,1.000000,0.601303,1.157850,0.003709,0.022278,0.083572,0.344227,-0.102575,0.723767,0.420695,8.898752,4.107472
7.000000,1.000000,1.000000,0.601303,1.157850,0.003709,0.022278,0.083572,0.344227,-0.102575,0.723767,0.420695,8.898752,4.107472
8.000000,1.000000,1.000000,0.898554,1.157850,-0.002649,0.023776,0.080941,-0.202355,0.820128,-0.415061,-0.148910,9.574878,2.129704
9.000000,1.000000,1.000000,0.960121,1.157850,0.000724,0.024132,0.074600,-0.013164,0.873163,-0.224072,0.036486,9.559674,2.201683
10.000000,1.000000,1.000000,0.531344,1.157850,0.001344,0.026648,0.080933,2.204740,-6.419166,-4.469494,-4.036481,4.491754,7.730917
11.000000,1.000000,1.000000,0.000113,1.157850,-0.004366,0.022807,0.083061,10.822749,-9.835164,-2.124401,0.373868,-4.156239,8.878176
12.000000,1.000000,1.000000,0.952657,1.157850,-0.003241,0.022803,0.078690,-0.276159,0.101632,-0.557970,-0.650993,9.348400,2.901677
13.000000,1.000000,1.000000,0.933925,1.157850,-0.000562,0.023817,0.077444,1.230366,-2.245514,1.578806,1.682385,8.121950,5.238283
14.000000,1.000000,1.000000,0.712195,1.157850,0.003489,0.020086,0.081279,14.165551,-6.406294,-9.020186,-3.782223,-8.425197,3.308617
15.000000,1.000000,1.000000,0.201392,1.157850,-0.002180,0.022375,0.083728,14.939861,-7.394876,-5.611132,6.765185,-7.101574,-0.189785
16.000000,1.000000,1.000000,0.201392,1.157850,-0.002180,0.022375,0.083728,14.939861,-7.394876,-5.611132,6.765185,-7.101574,-0.189785
