# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
75.000000,1.000000,0.570843,0.781972,-0.002385,0.020086,0.074327,12.444269,-6.844572,2.939422,-4.857637,-4.253456,7.385633
76.000000,1.000000,1.004180,0.781972,-0.008054,0.020710,0.075068,-0.408839,0.353137,-1.062687,-0.027754,9.416782,2.749462
77.000000,1.000000,0.457369,0.781972,-0.002697,0.022411,0.073966,0.020863,-0.943208,-0.509065,-0.516338,9.187988,3.398584
78.000000,1.000000,0.031064,0.781972,-0.005746,0.020547,0.076719,-0.926285,-1.983484,-2.261269,-0.313780,9.737417,1.149069
79.000000,1.000000,0.973291,0.781972,-0.004632,0.022736,0.076215,13.331095,-8.301176,0.569604,-8.107364,-0.876253,-5.453341
80.000000,1.000000,1.031764,0.781972,-0.003763,0.019969,0.075310,-0.327831,1.270133,-1.538921,1.832753,8.757082,4.023759
81.000000,1.000000,0.770666,0.781972,-0.000593,0.021075,0.076647,10.582935,8.742451,1.516506,-0.552191,-3.723591,9.059031
82.000000,1.000000,0.611131,0.781972,-0.001701,0.019762,0.074093,8.785510,-9.816517,-3.757161,-3.030983,3.808737,-8.517204
83.000000,1.000000,0.893262,0.781972,0.001484,0.019225,0.078525,-0.140610,0.048289,-0.416997,0.144572,9.187909,3.434754
84.000000,1.000000,1.014303,0.781972,0.001443,0.020256,0.077910,-0.054003,-0.226493,0.044746,-0.429139,9.023581,3.824517
85.000000,1.000000,0.322132,0.781972,-0.001386,0.020855,0.079597,15.603084,-4.511673,3.005328,-2.556138,-6.987713,6.393287
86.000000,1.000000,0.489142,0.781972,0.000624,0.021218,0.077542,1.405156,-5.228272,0.639414,-5.046336,6.901323,4.810648
87.000000,1.000000,0.862452,0.781972,-0.000089,0.021202,0.076467,1.253275,5.387512,-1.611193,5.202601,8.146854,1.672668
88.000000,1.000000,1.121739,0.781972,0.000835,0.020727,0.077459,0.186036,-0.185764,0.540031,-0.252518,8.743558,4.441005
89.000000,1.000000,1.017066,0.781972,-0.002020,0.020886,0.077123,0.579277,5.138226,-3.015595,4.004153,8.938431,-0.554354
90.000000,1.000000,0.657937,0.781972,-0.002350,0.019997,0.077873,2.158414,-0.402266,3.631852,0.877472,6.481921,7.311008
91.000000,1.000000,0.887249,0.781972,-0.001722,0.022327,0.075186,0.781505,2.375072,-6.975655,-0.055392,9.174532,-3.472894
92.000000,1.000000,0.907611,0.781972,-0.002773,0.020622,0.075643,2.171926,6.541188,-0.852499,6.020982,7.712060,0.712744
93.000000,1.000000,1.065706,0.781972,-0.002395,0.021881,0.076328,0.367037,-1.602461,0.659373,-1.306458,8.308681,5.049265
94.000000,1.000000,0.696753,0.781972,-0.002587,0.021567,0.076820,7.842167,-8.822163,0.772043,-7.016154,-0.173357,6.854169
95.000000,1.000000,0.000037,0.781972,-0.003151,0.021551,0.076460,7.768638,3.321680,-12.343609,-0.203529,2.071245,-9.586690
96.000000,1.000000,0.350115,0.781972,-0.000476,0.022129,0.076288,5.226471,4.352444,-11.133739,0.893041,4.968358,-8.411539
